BorrowerId,Gender,Age,AccountAgeDays,EntityAgent,EntityUnit,LoanId,Principal,Interest,LoanAmount,LoanBalance,LoanTermDays,NumRollovers,ChannelUsed,ApprovalStage,IsLoanNew,ProductId,is_default,NumInstallments,TotalAmountPaid,TotalUnpaidAmount,AvgInstallmentPaid,TotalOverpaid,AvgDaysLate,NumLatePayments,NumOnTimePayments
17739,2,49,417,44150,11,57110,6000,1500,7500,0,28,0,1,8,0,30246,1,4,7500,0,1875,2750,12,4,0
16694,2,44,444,44175,51,53097,15000,3750,18750,0,31,0,1,30,1,30280,0,1,18750,0,18750,NULL,-1,0,1
19392,1,36,381,44258,106,70268,8000,2000,10000,0,28,0,1,6,0,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
24897,1,42,206,44306,154,72095,6000,1500,7500,0,28,0,1,7,1,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
12064,2,38,567,44111,34,55419,6000,1800,7800,1900,14,0,1,14,0,30264,1,14,5900,1900,536.363636,2457.3,155,11,0
17902,2,1,414,44180,51,54904,8000,2000,10000,0,31,0,1,30,1,30280,0,1,10000,0,10000,NULL,-2,0,1
23323,1,22,254,44319,118,78974,5000,1300,6300,5950,28,0,1,45,0,30311,1,4,350,5950,350,0,NULL,0,1
25986,2,25,174,44387,45,68718,39000,19500,58500,57200,84,0,1,22,1,30271,1,12,5200,53300,5200,NULL,NULL,1,0
30789,2,37,104,45488,138,75036,26000,0,26000,19720,325,0,1,52,1,30332,0,325,2780,23220,79.428571,3560,4,32,3
28589,1,23,129,44440,138,72239,26000,0,26000,16340,325,0,1,52,1,30332,0,325,6160,19840,80,10410,0,3,74
10518,2,63,637,44074,19,52580,25000,9375,34375,0,42,0,1,23,0,30250,1,6,34375,0,5729.166666,5962.45,2,3,3
11660,2,38,583,44369,155,72826,8000,2000,10000,0,28,0,1,8,0,30246,0,4,10000,0,2500,50,2,3,1
32573,2,56,87,45479,142,77281,5000,1000,6000,0,28,0,1,57,1,30338,1,0,NULL,NULL,NULL,NULL,NULL,0,0
22999,1,21,264,44129,45,63612,28000,22400,53760,0,168,0,1,22,1,30272,1,0,NULL,NULL,NULL,NULL,NULL,0,0
10808,2,33,629,44080,20,46517,25000,6250,31250,17138,28,0,NULL,14,0,30247,1,4,14112,17138,7056,4799.5,7,2,0
6366,NULL,NULL,1023,43771,6,40338,70000,10500,80500,0,30,0,NULL,4,0,30203,1,1,80500,0,80500,100,2,1,0
22208,2,51,283,44319,118,70654,12000,4680,16680,9130,42,0,1,45,0,30314,1,6,7550,9130,2516.666666,2760,8,3,0
15246,1,25,485,44068,26,51171,560,0,560,0,14,0,1,20,1,30255,0,14,560,0,40,200,0,0,14
20760,1,1,342,44360,132,66135,7000,1750,8750,0,28,0,1,7,0,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
5223,NULL,NULL,1109,43771,6,40293,40000,6000,46000,0,102,0,NULL,4,0,30203,0,2,20000,26000,20000,0,NULL,1,0
15863,1,44,468,44351,159,68457,10000,2500,12500,0,28,0,1,8,0,30246,1,4,12500,0,3125,750,0,2,2
20842,1,28,339,44184,26,59954,2010,0,2010,0,30,0,1,20,1,30256,1,30,2010,0,67,1039,8,17,13
15172,1,27,489,44068,26,51052,2970,0,2970,0,30,0,1,20,1,30257,0,30,2970,0,99,NULL,0,1,29
13431,1,NULL,NULL,35,47,48564,24000,12000,21600,0,84,0,NULL,0,0,30271,0,12,21600,0,1800,37800,42,10,2
21301,1,29,328,44360,132,63779,8000,2000,10000,0,28,0,1,8,0,30246,1,4,10000,0,2500,NULL,2,3,1
15278,1,44,485,44167,30,51260,2010,0,2010,0,30,0,1,20,1,30256,0,30,2010,0,67,10805,7,26,4
30676,2,36,105,44368,156,74869,6000,1500,7500,0,28,0,1,8,1,30246,1,4,7500,0,1875,525,4,3,1
20437,1,29,353,45535,165,62849,7000,1750,8750,0,28,0,1,8,0,30246,0,4,8750,0,2187.5,6563,0,2,2
16115,2,45,463,44332,11,59310,12000,3000,15000,0,28,0,1,8,0,30246,1,4,15000,0,3750,5800,7,3,1
20653,2,49,345,44295,157,64064,7000,1750,8750,0,28,0,1,8,0,30246,1,4,8750,0,2187.5,25,9,3,1
11690,1,31,583,44406,12,53245,20000,5000,25000,0,28,0,1,8,0,30246,1,4,25000,0,6250,3500,88,4,0
20469,2,50,353,44177,53,60297,6000,1200,7200,0,28,0,1,30,0,30278,0,4,7200,0,1800,500,5,0,4
4549,NULL,NULL,1144,43771,6,39148,20000,3000,23000,0,31,0,NULL,4,0,30203,1,1,23000,0,23000,NULL,0,0,1
16487,1,25,451,44201,45,52796,43800,21900,65700,0,84,0,1,22,1,30271,1,12,70080,-4380,5840,NULL,5,8,4
19820,2,43,373,44177,53,59507,6000,1200,7200,0,28,0,1,30,0,30278,0,4,7200,0,1800,570,0,2,2
20480,2,48,352,44171,53,61332,6000,1200,7200,0,28,0,1,30,0,30278,0,4,7200,0,1800,1200,-3,0,4
4747,NULL,NULL,1137,43793,6,34720,40000,4000,44000,0,31,0,NULL,4,0,30195,0,1,44000,0,44000,560,-30,0,1
25771,2,35,178,44326,118,72658,8000,3120,11120,0,42,0,1,45,0,30314,0,6,11119.98,0.02,1853.33,1950.07,3,5,1
10069,2,55,650,44074,19,67683,18000,4500,22500,17125,28,0,1,8,0,30246,1,4,16200,6300,5400,1125,46,3,0
9607,1,33,694,44062,25,48273,30000,15000,45000,0,56,0,NULL,6,0,30248,1,0,NULL,NULL,NULL,NULL,NULL,0,0
12242,2,40,558,44111,34,49047,10000,3000,13000,0,14,0,NULL,14,0,30264,1,14,12999.98,0.02,928.57,11614.15,24,14,0
15071,2,43,490,44155,153,55969,7000,1750,8750,0,28,0,1,8,0,30246,1,4,8750,0,2187.5,2,5,0,4
10976,2,49,621,44075,19,59810,8000,2000,10000,0,28,0,1,8,0,30246,1,4,10000,0,2500,4000,17,4,0
23542,2,49,248,44339,106,74432,10000,2500,12500,0,28,0,1,8,0,30246,1,4,12500,0,3125,5830,10,4,0
18767,1,41,394,44258,106,62371,18000,4500,22500,0,28,0,1,7,0,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
19580,1,24,378,44274,45,57493,13000,6500,19500,0,84,0,1,22,1,30271,1,12,21000,-1500,1750,15000,-4,3,9
33311,2,27,70,44304,158,78564,3000,750,3750,3750,28,0,1,72,1,30246,1,4,NULL,NULL,NULL,NULL,NULL,0,0
14659,2,57,516,45506,161,63172,15000,3750,18750,0,28,0,1,7,0,30246,1,0,NULL,NULL,NULL,NULL,NULL,0,0
19081,2,1,388,44256,106,58673,12000,3000,15000,0,28,0,1,8,0,30246,1,4,15000,0,3750,1150,6,4,0
20923,1,35,337,44184,26,60073,2010,0,2010,0,30,0,1,20,1,30256,0,30,2010,0,67,22385,11,26,4
33482,1,28,66,44250,45,78726,44000,26400,76160,76160,112,0,1,22,1,30317,0,16,NULL,NULL,NULL,NULL,NULL,0,0
25646,2,19,184,44376,45,68160,42500,34000,76500,0,168,0,1,22,1,30272,0,24,73100,3400,3322.727272,68600,10,0,22
18981,2,27,391,44178,51,56518,15000,3750,18750,0,30,0,1,30,1,30280,1,1,16260,2490,16260,0,-23,0,1
15569,1,24,475,44184,26,64280,16400,4264,20664,0,26,0,1,20,0,30253,0,26,NULL,NULL,NULL,NULL,NULL,0,0
11488,1,37,594,44094,29,47241,2970,0,2970,0,30,0,NULL,20,1,30257,1,30,2970,0,99,4832,3,26,4
12017,2,49,568,44426,12,60558,25000,9375,34375,0,42,0,1,8,0,30250,1,6,34375,0,5729.166666,1062.45,6,6,0
